Mục tiêu:	Hệ thống giao việc online và quản lý dự án cho phép lập kế hoạch và theo dõi tiến độ của các dự án		
Tầm nhìn:	Nâng cao hiệu quả học tập và làm việc thông qua thúc đẩy tính chủ động, rèn luyện kỷ luật, áp dụng các kỹ thuật quản lý công việc và quản lý thời gian hằng ngày.		
			
Số thứ tự	Epic	Story	Mô tả
1	Quản lý Authentication	Login với CodeGym ID	Người dùng có thể đăng nhập vào hệ thống bằng tài khoản CodeGym ID thông qua Keycloak SSO
2	Quản lý Authentication	Login với tài khoản thường	Người dùng có thể đăng nhập bằng username và password thông thường
3	Quản lý Authentication	Kiểm tra trạng thái đăng nhập	Hệ thống kiểm tra người dùng đã đăng nhập hay chưa và chuyển hướng phù hợp
4	Quản lý Authentication	Logout khỏi hệ thống	Người dùng có thể đăng xuất khỏi hệ thống và xóa token authentication một cách an toàn
5	Quản lý Authentication	Callback xử lý đăng nhập	Hệ thống xử lý callback từ Keycloak sau khi đăng nhập SSO thành công
6	Quản lý Authentication	Khởi tạo Keycloak	Hệ thống khởi tạo và cấu hình Keycloak client khi ứng dụng bắt đầu
7	Quản lý Authentication	Xác thực quyền truy cập	Hệ thống kiểm tra quyền người dùng trước khi cho phép truy cập các trang
8	Quản lý Authentication	Hiển thị lỗi đăng nhập	Hệ thống hiển thị thông báo lỗi khi đăng nhập không thành công
9	Quản lý Authentication	Tự động chuyển hướng	Hệ thống tự động chuyển hướng người dùng chưa đăng nhập đến trang login
10	Quản lý Authentication	Lưu trữ thông tin phiên	Hệ thống lưu trữ token và thông tin user vào localStorage để duy trì phiên đăng nhập
11	Quản lý Authentication	Kiểm tra role người dùng	Hệ thống kiểm tra role (Admin/Teacher/Student) để phân quyền chức năng
12	Quản lý Authentication	Refresh token tự động	Hệ thống tự động làm mới token khi gần hết hạn để duy trì phiên đăng nhập
12	Quản lý Authentication	Refresh token tự động	Hệ thống tự động làm mới token khi gần hết hạn để duy trì phiên đăng nhập
13	Quản lý Board & Task	Xem danh sách Board	Người dùng có thể xem tất cả các board mà họ có quyền truy cập
14	Quản lý Board & Task	Tạo Board mới	Người dùng có thể tạo board mới để quản lý công việc
15	Quản lý Board & Task	Xem chi tiết Board	Người dùng có thể xem chi tiết một board với các cột và task
16	Quản lý Board & Task	Kéo thả Task giữa các cột	Người dùng có thể kéo thả task từ cột này sang cột khác để cập nhật trạng thái
17	Quản lý Board & Task	Tạo Task mới	Người dùng có thể tạo task mới trong bất kỳ cột nào của board
18	Quản lý Board & Task	Chỉnh sửa Task	Người dùng có thể chỉnh sửa thông tin chi tiết của task
19	Quản lý Board & Task	Xóa Task	Người dùng có thể xóa task không cần thiết
20	Quản lý Board & Task	Thêm Tag cho Task	Người dùng có thể gán tag để phân loại và tìm kiếm task
21	Quản lý Board & Task	Đặt ngày bắt đầu và kết thúc	Người dùng có thể thiết lập ngày bắt đầu và ngày deadline cho task
22	Quản lý Board & Task	Ước tính thời gian hoàn thành	Người dùng có thể ước tính thời gian cần thiết để hoàn thành task
23	Quản lý Board & Task	Thêm bình luận cho Task	Người dùng có thể thêm bình luận để thảo luận về task
24	Quản lý Board & Task	Cấu hình Board settings	Người dùng có thể cấu hình các thiết lập của board như thêm/xóa cột và swimlane
25	Quản lý Board & Task	Tạo và quản lý Swimlane	Người dùng có thể tạo và quản lý các swimlane để nhóm task theo tiêu chí
26	Quản lý Board & Task	Thu gọn/mở rộng Swimlane	Người dùng có thể thu gọn hoặc mở rộng swimlane để tối ưu không gian hiển thị
27	Quản lý Board & Task	Import Task từ file	Admin có thể import hàng loạt task từ file Excel hoặc CSV
28	Quản lý Template	Xem danh sách Template	Người dùng có thể xem danh sách các template board có sẵn
29	Quản lý Template	Tạo Template mới	Người dùng có thể tạo template board để sử dụng lại cho các dự án tương tự
30	Quản lý Template	Clone Board từ Template	Người dùng có thể tạo board mới bằng cách clone từ template
31	Quản lý Template	Chỉnh sửa Template	Người dùng có thể chỉnh sửa thông tin của template
32	Quản lý User	Xem danh sách User	Admin có thể xem danh sách tất cả người dùng trong hệ thống
33	Quản lý User	Tạo User mới	Admin có thể tạo tài khoản người dùng mới
34	Quản lý User	Chỉnh sửa thông tin User	Admin có thể chỉnh sửa thông tin của người dùng
35	Quản lý User	Xóa User	Admin có thể xóa tài khoản người dùng
36	Quản lý User	Thay đổi quyền User	Admin có thể thay đổi role/quyền của người dùng
37	Quản lý User	Xem Profile cá nhân	Người dùng có thể xem và chỉnh sửa thông tin profile của mình
38	Quản lý User	Xem Board của User	Teacher có thể xem danh sách board của một học viên cụ thể
39	Quản lý Group	Xem danh sách Group	Teacher/Admin có thể xem danh sách các nhóm
40	Quản lý Group	Quản lý thành viên Group	Teacher có thể xem và quản lý thành viên trong nhóm
41	Quản lý Role & Permission	Xem danh sách Role	Admin có thể xem danh sách các role trong hệ thống
42	Quản lý Role & Permission	Quản lý Permission	Admin có thể quản lý quyền hạn của từng role
43	Quản lý Tag	Xem danh sách Tag	Admin có thể xem danh sách tất cả tag trong hệ thống
44	Quản lý Tag	Tạo Tag mới	Admin có thể tạo tag mới để phân loại task
45	Quản lý Tag	Chỉnh sửa Tag	Admin có thể chỉnh sửa thông tin của tag
46	Quản lý Tag	Xóa Tag	Admin có thể xóa tag không sử dụng
